,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,1,Buyer,Low,Low,88,52.0,64.0,52.0,52.0,35.0,41.0,52.0,64.0,64.0,52.0,52.0,52.0,41.0,35.0,35.0,52.0,52.0,41.0,35.0,52.0
1,2,6,Buyer,High,Low,30,16.0,16.0,47.0,54.0,23.0,54.0,54.0,16.0,16.0,23.0,16.0,23.0,47.0,47.0,54.0,23.0,23.0,54.0,16.0,23.0
2,3,4,Seller,Low,High,0,48.0,4.0,19.0,4.0,19.0,4.0,5.0,19.0,48.0,5.0,5.0,5.0,19.0,19.0,48.0,4.0,4.0,5.0,19.0,5.0
3,4,4,Buyer,Low,High,74,25.0,3.0,53.0,3.0,25.0,3.0,28.0,25.0,53.0,25.0,28.0,53.0,28.0,53.0,25.0,3.0,3.0,53.0,53.0,25.0
4,5,4,Buyer,High,Low,83,53.0,28.0,28.0,25.0,28.0,25.0,3.0,53.0,28.0,3.0,3.0,3.0,53.0,25.0,53.0,53.0,25.0,3.0,25.0,3.0
5,6,2,Buyer,High,High,58,36.0,36.0,56.0,56.0,36.0,56.0,43.0,56.0,43.0,8.0,43.0,36.0,8.0,36.0,8.0,56.0,36.0,8.0,8.0,56.0
6,7,3,Seller,High,High,0,20.0,45.0,20.0,20.0,10.0,10.0,63.0,20.0,63.0,20.0,10.0,20.0,45.0,10.0,63.0,20.0,10.0,20.0,10.0,63.0
7,8,2,Seller,High,Low,0,32.0,42.0,32.0,31.0,32.0,42.0,31.0,31.0,31.0,6.0,31.0,31.0,6.0,31.0,6.0,42.0,32.0,6.0,6.0,32.0
8,9,8,Seller,High,High,0,49.0,38.0,49.0,24.0,39.0,38.0,38.0,49.0,49.0,49.0,39.0,24.0,24.0,38.0,39.0,39.0,38.0,39.0,39.0,49.0
9,10,3,Buyer,Low,High,82,44.0,44.0,44.0,14.0,7.0,7.0,44.0,44.0,14.0,44.0,7.0,44.0,26.0,7.0,14.0,44.0,7.0,44.0,7.0,14.0
10,11,6,Buyer,Low,High,55,23.0,54.0,16.0,16.0,16.0,47.0,47.0,47.0,54.0,47.0,47.0,54.0,16.0,16.0,16.0,16.0,16.0,47.0,47.0,47.0
11,12,7,Seller,Low,High,0,33.0,33.0,33.0,62.0,62.0,15.0,62.0,40.0,40.0,62.0,40.0,62.0,33.0,15.0,33.0,40.0,15.0,15.0,62.0,15.0
12,13,7,Seller,High,High,0,40.0,62.0,62.0,33.0,40.0,33.0,33.0,62.0,62.0,33.0,33.0,33.0,62.0,33.0,62.0,15.0,62.0,40.0,33.0,62.0
13,14,3,Seller,Low,High,0,63.0,63.0,63.0,10.0,20.0,63.0,45.0,63.0,10.0,63.0,20.0,63.0,20.0,63.0,10.0,63.0,63.0,63.0,45.0,10.0
14,15,7,Buyer,Low,Low,22,59.0,59.0,59.0,59.0,55.0,12.0,59.0,59.0,59.0,55.0,59.0,55.0,55.0,12.0,55.0,13.0,12.0,12.0,59.0,12.0
15,16,6,Seller,High,Low,0,2.0,2.0,11.0,11.0,11.0,51.0,51.0,2.0,2.0,37.0,2.0,37.0,11.0,11.0,11.0,11.0,11.0,51.0,2.0,37.0
16,17,5,Buyer,Low,Low,27,22.0,58.0,22.0,58.0,58.0,34.0,29.0,22.0,34.0,58.0,58.0,58.0,29.0,22.0,22.0,58.0,34.0,29.0,29.0,29.0
17,18,5,Buyer,Low,High,83,29.0,34.0,34.0,22.0,29.0,29.0,22.0,58.0,58.0,22.0,22.0,29.0,58.0,34.0,29.0,29.0,22.0,58.0,58.0,58.0
18,19,4,Buyer,Low,Low,82,28.0,25.0,3.0,53.0,3.0,53.0,53.0,3.0,25.0,28.0,53.0,28.0,3.0,3.0,28.0,28.0,53.0,28.0,3.0,28.0
19,20,3,Buyer,High,Low,58,7.0,26.0,7.0,7.0,14.0,44.0,26.0,7.0,44.0,7.0,14.0,7.0,14.0,44.0,44.0,7.0,44.0,7.0,26.0,44.0
20,21,1,Buyer,Low,Low,60,41.0,35.0,64.0,41.0,64.0,64.0,41.0,52.0,35.0,41.0,35.0,35.0,52.0,52.0,41.0,35.0,35.0,35.0,52.0,35.0
21,22,5,Seller,High,Low,0,17.0,46.0,17.0,18.0,57.0,46.0,18.0,17.0,57.0,18.0,18.0,57.0,57.0,17.0,17.0,57.0,18.0,46.0,57.0,57.0
22,23,6,Seller,Low,High,0,11.0,37.0,37.0,37.0,2.0,37.0,37.0,51.0,37.0,2.0,51.0,2.0,51.0,51.0,37.0,2.0,2.0,37.0,51.0,2.0
23,24,8,Buyer,High,High,70,60.0,50.0,61.0,9.0,61.0,50.0,60.0,50.0,60.0,61.0,61.0,9.0,9.0,50.0,61.0,50.0,61.0,50.0,61.0,60.0
24,25,4,Seller,High,Low,0,4.0,19.0,48.0,5.0,4.0,5.0,48.0,4.0,19.0,4.0,48.0,48.0,48.0,5.0,4.0,48.0,5.0,48.0,5.0,4.0
25,26,3,Seller,Low,Low,0,45.0,20.0,45.0,63.0,45.0,45.0,20.0,45.0,45.0,45.0,63.0,45.0,10.0,45.0,45.0,45.0,45.0,45.0,20.0,45.0
26,27,1,Buyer,Low,High,93,35.0,41.0,35.0,64.0,52.0,52.0,64.0,41.0,52.0,35.0,64.0,41.0,35.0,64.0,52.0,41.0,64.0,64.0,41.0,41.0
27,28,4,Seller,High,Low,0,19.0,5.0,5.0,48.0,5.0,48.0,4.0,48.0,5.0,19.0,4.0,19.0,4.0,48.0,19.0,19.0,48.0,19.0,48.0,19.0
28,29,5,Seller,High,High,0,18.0,57.0,46.0,57.0,18.0,18.0,17.0,57.0,46.0,57.0,46.0,18.0,17.0,57.0,18.0,18.0,46.0,17.0,17.0,17.0
29,30,1,Buyer,High,Low,19,64.0,52.0,41.0,35.0,41.0,35.0,35.0,35.0,41.0,64.0,41.0,64.0,64.0,41.0,64.0,64.0,41.0,52.0,64.0,64.0
