,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,3,Buyer,High,Low,12,16.0,14.0,9.0,14.0,24.0,9.0,16.0,14.0,16.0,14.0,24.0,24.0,9.0,14.0,9.0,16.0,9.0,9.0,9.0,14.0
1,2,1,Buyer,Low,High,52,28.0,17.0,30.0,30.0,12.0,17.0,17.0,12.0,17.0,12.0,28.0,17.0,17.0,17.0,30.0,12.0,28.0,28.0,17.0,12.0
2,3,4,Buyer,Low,Low,31,10.0,10.0,4.0,31.0,31.0,31.0,10.0,10.0,19.0,4.0,4.0,4.0,19.0,4.0,19.0,19.0,31.0,31.0,10.0,10.0
3,4,4,Seller,Low,High,0,27.0,27.0,3.0,27.0,7.0,27.0,27.0,21.0,27.0,3.0,3.0,3.0,7.0,3.0,27.0,21.0,7.0,21.0,27.0,7.0
4,5,3,Buyer,Low,High,50,9.0,16.0,24.0,24.0,14.0,24.0,24.0,9.0,24.0,24.0,16.0,14.0,24.0,24.0,24.0,24.0,24.0,16.0,24.0,16.0
5,6,1,Buyer,High,Low,98,30.0,28.0,17.0,12.0,30.0,28.0,30.0,28.0,12.0,17.0,17.0,28.0,12.0,30.0,12.0,28.0,17.0,17.0,30.0,17.0
6,7,4,Buyer,High,Low,98,31.0,19.0,10.0,19.0,4.0,19.0,19.0,31.0,31.0,19.0,31.0,10.0,4.0,19.0,10.0,31.0,4.0,10.0,19.0,4.0
7,8,2,Seller,Low,Low,0,23.0,26.0,26.0,29.0,23.0,23.0,29.0,15.0,29.0,26.0,15.0,15.0,15.0,23.0,15.0,29.0,23.0,23.0,29.0,23.0
8,9,3,Seller,Low,High,0,5.0,13.0,1.0,32.0,13.0,1.0,13.0,5.0,13.0,13.0,13.0,13.0,1.0,32.0,1.0,13.0,1.0,1.0,1.0,32.0
9,10,4,Seller,High,Low,0,3.0,3.0,7.0,21.0,27.0,21.0,3.0,3.0,21.0,27.0,21.0,7.0,27.0,27.0,7.0,27.0,27.0,7.0,3.0,3.0
10,11,2,Seller,Low,High,0,26.0,23.0,15.0,15.0,26.0,26.0,26.0,29.0,15.0,23.0,23.0,29.0,23.0,15.0,29.0,23.0,15.0,26.0,23.0,29.0
11,12,1,Seller,Low,High,0,20.0,25.0,25.0,6.0,2.0,25.0,20.0,2.0,6.0,2.0,25.0,25.0,6.0,20.0,6.0,2.0,25.0,25.0,25.0,2.0
12,13,3,Buyer,Low,Low,91,24.0,9.0,14.0,16.0,9.0,16.0,9.0,16.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,9.0,16.0,24.0,16.0,24.0
13,14,3,Seller,High,High,0,32.0,1.0,13.0,1.0,5.0,32.0,32.0,1.0,32.0,1.0,32.0,5.0,32.0,1.0,32.0,32.0,32.0,32.0,32.0,1.0
14,15,2,Buyer,High,High,96,22.0,18.0,11.0,11.0,18.0,22.0,18.0,8.0,11.0,18.0,8.0,8.0,8.0,11.0,8.0,22.0,11.0,18.0,18.0,22.0
15,16,3,Seller,High,Low,0,1.0,5.0,32.0,13.0,32.0,13.0,1.0,13.0,1.0,32.0,5.0,32.0,13.0,13.0,13.0,1.0,13.0,5.0,13.0,5.0
16,17,1,Seller,High,Low,0,25.0,2.0,6.0,20.0,20.0,2.0,2.0,25.0,2.0,6.0,6.0,2.0,2.0,2.0,20.0,20.0,6.0,6.0,2.0,6.0
17,18,2,Seller,Low,Low,0,29.0,15.0,23.0,26.0,15.0,29.0,15.0,26.0,23.0,15.0,26.0,26.0,29.0,26.0,26.0,26.0,26.0,15.0,15.0,26.0
18,19,4,Seller,High,High,0,21.0,7.0,21.0,7.0,21.0,7.0,7.0,27.0,3.0,7.0,27.0,21.0,3.0,7.0,3.0,3.0,21.0,27.0,7.0,21.0
19,20,1,Buyer,High,Low,55,12.0,30.0,28.0,17.0,17.0,30.0,12.0,30.0,28.0,28.0,30.0,30.0,30.0,12.0,17.0,17.0,30.0,30.0,28.0,30.0
20,21,4,Buyer,High,High,14,19.0,31.0,19.0,10.0,19.0,10.0,31.0,4.0,10.0,31.0,10.0,19.0,31.0,31.0,31.0,4.0,19.0,4.0,31.0,19.0
