,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,2,Seller,High,Low,0,10.0,4.0,4.0,15.0,15.0,15.0,15.0,14.0,4.0,15.0,14.0,10.0,15.0,10.0,4.0,4.0,10.0,4.0,15.0,15.0
1,2,1,Seller,Low,High,0,11.0,16.0,16.0,7.0,3.0,16.0,3.0,16.0,11.0,7.0,3.0,11.0,3.0,11.0,7.0,11.0,16.0,16.0,11.0,3.0
2,3,1,Buyer,High,Low,33,13.0,13.0,9.0,12.0,2.0,13.0,2.0,13.0,12.0,12.0,2.0,12.0,2.0,12.0,12.0,9.0,12.0,9.0,12.0,2.0
3,4,2,Buyer,Low,High,70,8.0,1.0,1.0,5.0,6.0,8.0,6.0,8.0,1.0,6.0,6.0,6.0,5.0,6.0,1.0,1.0,6.0,1.0,8.0,5.0
4,5,2,Seller,High,Low,0,15.0,14.0,15.0,4.0,10.0,10.0,10.0,15.0,14.0,10.0,10.0,15.0,4.0,15.0,15.0,10.0,14.0,10.0,14.0,4.0
5,6,2,Seller,High,Low,0,14.0,15.0,14.0,10.0,4.0,14.0,4.0,10.0,15.0,4.0,4.0,4.0,14.0,4.0,10.0,14.0,4.0,14.0,10.0,10.0
6,7,1,Buyer,High,High,88,12.0,12.0,12.0,2.0,12.0,9.0,12.0,9.0,9.0,2.0,9.0,13.0,12.0,13.0,2.0,13.0,9.0,13.0,9.0,9.0
7,8,2,Seller,Low,Low,0,4.0,10.0,10.0,14.0,14.0,4.0,14.0,4.0,10.0,14.0,15.0,14.0,10.0,14.0,14.0,15.0,15.0,15.0,4.0,14.0
8,9,1,Seller,Low,Low,0,16.0,11.0,3.0,11.0,11.0,7.0,11.0,7.0,7.0,11.0,7.0,16.0,16.0,16.0,11.0,3.0,7.0,3.0,7.0,7.0
9,10,2,Buyer,High,High,57,1.0,8.0,8.0,6.0,5.0,5.0,5.0,6.0,8.0,5.0,5.0,1.0,8.0,1.0,6.0,5.0,1.0,5.0,6.0,6.0
10,11,1,Buyer,Low,Low,91,2.0,9.0,13.0,9.0,9.0,12.0,9.0,12.0,2.0,9.0,13.0,2.0,13.0,2.0,9.0,2.0,13.0,12.0,2.0,12.0
11,12,1,Seller,High,High,0,7.0,7.0,7.0,3.0,7.0,11.0,7.0,11.0,3.0,3.0,16.0,3.0,7.0,3.0,3.0,16.0,3.0,11.0,3.0,11.0
12,13,1,Seller,Low,Low,0,3.0,3.0,11.0,16.0,16.0,3.0,16.0,3.0,16.0,16.0,11.0,7.0,11.0,7.0,16.0,7.0,11.0,7.0,16.0,16.0
13,14,2,Buyer,Low,High,96,6.0,5.0,6.0,8.0,8.0,6.0,8.0,1.0,5.0,8.0,1.0,8.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,8.0
14,15,2,Buyer,Low,High,84,5.0,6.0,5.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,8.0,5.0,1.0,5.0,5.0,8.0,8.0,8.0,1.0,1.0
15,16,1,Buyer,High,High,67,9.0,2.0,2.0,13.0,13.0,2.0,13.0,2.0,13.0,13.0,12.0,9.0,9.0,9.0,13.0,12.0,2.0,2.0,13.0,13.0
