,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,2,Seller,High,High,0,8.0,34.0,34.0,34.0,34.0,8.0,36.0,8.0,34.0,36.0,36.0,8.0,8.0,32.0,36.0,8.0,32.0,34.0,32.0,36.0
1,2,3,Seller,High,High,0,45.0,31.0,53.0,29.0,29.0,31.0,29.0,29.0,29.0,45.0,29.0,31.0,29.0,29.0,31.0,29.0,53.0,53.0,45.0,31.0
2,3,5,Buyer,Low,High,59,55.0,55.0,50.0,50.0,51.0,9.0,51.0,50.0,9.0,55.0,55.0,51.0,9.0,55.0,50.0,9.0,55.0,55.0,51.0,50.0
3,4,1,Buyer,Low,Low,52,25.0,49.0,49.0,28.0,28.0,28.0,22.0,49.0,49.0,22.0,49.0,49.0,25.0,49.0,49.0,28.0,22.0,25.0,28.0,28.0
4,5,6,Buyer,Low,High,71,13.0,13.0,11.0,52.0,52.0,56.0,52.0,11.0,13.0,11.0,52.0,11.0,11.0,52.0,56.0,13.0,52.0,13.0,13.0,56.0
5,6,4,Buyer,High,Low,7,41.0,7.0,7.0,7.0,41.0,41.0,48.0,41.0,7.0,7.0,24.0,48.0,7.0,48.0,48.0,7.0,24.0,24.0,48.0,48.0
6,7,4,Seller,High,Low,0,21.0,6.0,6.0,6.0,21.0,15.0,26.0,15.0,6.0,6.0,15.0,15.0,6.0,15.0,21.0,6.0,26.0,15.0,15.0,21.0
7,8,2,Buyer,High,High,7,1.0,42.0,27.0,54.0,54.0,1.0,54.0,1.0,42.0,42.0,42.0,1.0,1.0,27.0,27.0,1.0,27.0,27.0,42.0,42.0
8,9,5,Seller,High,Low,0,38.0,10.0,20.0,10.0,10.0,3.0,38.0,38.0,3.0,20.0,38.0,10.0,3.0,10.0,10.0,3.0,20.0,20.0,10.0,10.0
9,10,5,Buyer,High,High,85,50.0,9.0,51.0,9.0,9.0,55.0,55.0,51.0,51.0,51.0,51.0,9.0,50.0,9.0,9.0,50.0,51.0,51.0,9.0,9.0
10,11,6,Seller,Low,High,0,12.0,33.0,5.0,39.0,33.0,12.0,39.0,5.0,39.0,5.0,33.0,5.0,5.0,33.0,39.0,12.0,39.0,12.0,33.0,33.0
11,12,6,Buyer,High,High,49,11.0,52.0,56.0,13.0,56.0,11.0,56.0,56.0,52.0,52.0,13.0,52.0,52.0,56.0,52.0,11.0,13.0,11.0,52.0,52.0
