,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,2,Buyer,High,High,34,11.0,23.0,15.0,23.0,11.0,13.0,13.0,23.0,13.0,11.0,23.0,15.0,23.0,13.0,23.0,13.0,13.0,13.0,15.0,15.0
1,2,2,Buyer,High,Low,71,13.0,15.0,23.0,15.0,23.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,13.0,15.0,11.0,11.0,11.0,11.0,11.0,13.0
2,3,1,Seller,High,High,0,14.0,20.0,20.0,20.0,7.0,19.0,20.0,7.0,7.0,19.0,20.0,14.0,20.0,7.0,14.0,20.0,7.0,20.0,7.0,19.0
3,4,3,Seller,Low,High,0,21.0,21.0,21.0,21.0,18.0,21.0,18.0,16.0,17.0,17.0,16.0,16.0,18.0,21.0,17.0,18.0,18.0,17.0,21.0,16.0
4,5,3,Seller,Low,High,0,17.0,18.0,18.0,18.0,21.0,18.0,17.0,18.0,21.0,18.0,21.0,18.0,16.0,18.0,21.0,21.0,17.0,16.0,18.0,21.0
5,6,1,Seller,High,High,0,20.0,14.0,14.0,7.0,14.0,7.0,7.0,20.0,14.0,7.0,14.0,19.0,14.0,19.0,19.0,7.0,19.0,19.0,20.0,14.0
6,7,1,Buyer,Low,Low,72,10.0,12.0,10.0,6.0,3.0,6.0,6.0,3.0,3.0,6.0,10.0,10.0,12.0,3.0,12.0,6.0,3.0,10.0,3.0,12.0
7,8,3,Seller,High,Low,0,16.0,17.0,16.0,16.0,16.0,17.0,21.0,17.0,18.0,16.0,18.0,21.0,21.0,17.0,16.0,16.0,16.0,21.0,17.0,18.0
8,9,3,Seller,High,Low,0,18.0,16.0,17.0,17.0,17.0,16.0,16.0,21.0,16.0,21.0,17.0,17.0,17.0,16.0,18.0,17.0,21.0,18.0,16.0,17.0
9,10,1,Seller,Low,Low,0,7.0,19.0,7.0,14.0,19.0,14.0,19.0,14.0,19.0,14.0,7.0,7.0,19.0,14.0,20.0,19.0,14.0,7.0,14.0,20.0
10,11,2,Seller,High,Low,0,1.0,22.0,22.0,22.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,22.0
11,12,1,Seller,High,High,0,19.0,7.0,19.0,19.0,20.0,20.0,14.0,19.0,20.0,20.0,19.0,20.0,7.0,20.0,7.0,14.0,20.0,14.0,19.0,7.0
12,13,2,Seller,Low,Low,0,2.0,24.0,24.0,24.0,22.0,1.0,1.0,22.0,1.0,2.0,24.0,22.0,2.0,1.0,24.0,1.0,1.0,1.0,22.0,2.0
13,14,1,Buyer,High,High,0,3.0,6.0,6.0,10.0,6.0,10.0,12.0,10.0,6.0,10.0,6.0,3.0,6.0,10.0,3.0,12.0,10.0,12.0,10.0,6.0
14,15,2,Seller,High,High,0,22.0,2.0,1.0,2.0,24.0,22.0,22.0,24.0,22.0,24.0,22.0,1.0,22.0,2.0,22.0,24.0,24.0,24.0,1.0,1.0
15,16,3,Buyer,High,Low,8,8.0,9.0,8.0,8.0,8.0,9.0,9.0,4.0,9.0,8.0,4.0,4.0,5.0,9.0,8.0,8.0,8.0,5.0,9.0,4.0
16,17,3,Buyer,Low,High,37,5.0,8.0,9.0,9.0,9.0,8.0,5.0,8.0,4.0,4.0,9.0,9.0,9.0,8.0,4.0,9.0,5.0,4.0,8.0,9.0
17,18,3,Buyer,High,Low,74,9.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,8.0,5.0,8.0,5.0,4.0,5.0,9.0,4.0,4.0,9.0,5.0,8.0
18,19,1,Buyer,Low,Low,44,12.0,10.0,12.0,12.0,10.0,3.0,10.0,12.0,10.0,3.0,12.0,6.0,10.0,6.0,6.0,10.0,6.0,6.0,12.0,3.0
19,20,1,Buyer,Low,Low,25,6.0,3.0,3.0,3.0,12.0,12.0,3.0,6.0,12.0,12.0,3.0,12.0,3.0,12.0,10.0,3.0,12.0,3.0,6.0,10.0
20,21,3,Buyer,Low,High,57,4.0,4.0,4.0,4.0,5.0,4.0,8.0,9.0,5.0,9.0,5.0,8.0,8.0,4.0,5.0,5.0,9.0,8.0,4.0,5.0
21,22,2,Buyer,Low,High,98,15.0,11.0,11.0,11.0,13.0,15.0,15.0,13.0,15.0,23.0,15.0,13.0,15.0,23.0,15.0,23.0,23.0,23.0,13.0,11.0
22,23,2,Seller,Low,Low,0,24.0,1.0,2.0,1.0,2.0,24.0,24.0,1.0,24.0,22.0,1.0,24.0,1.0,22.0,1.0,22.0,22.0,22.0,24.0,24.0
23,24,2,Buyer,Low,High,31,23.0,13.0,13.0,13.0,15.0,23.0,23.0,15.0,23.0,15.0,13.0,23.0,11.0,11.0,13.0,15.0,15.0,15.0,23.0,23.0
