,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,3,Seller,High,High,0,40.0,35.0,10.0,40.0,40.0,40.0,10.0,35.0,35.0,35.0,35.0,2.0,2.0,10.0,2.0,40.0,2.0,10.0,2.0,35.0
1,2,3,Buyer,High,High,88,28.0,28.0,28.0,23.0,29.0,23.0,29.0,23.0,28.0,23.0,23.0,1.0,1.0,23.0,1.0,23.0,1.0,28.0,1.0,28.0
2,3,1,Buyer,High,High,5,11.0,11.0,11.0,30.0,34.0,12.0,30.0,30.0,30.0,30.0,12.0,11.0,34.0,30.0,34.0,11.0,12.0,34.0,34.0,11.0
3,4,5,Seller,High,Low,0,5.0,9.0,9.0,37.0,5.0,9.0,31.0,5.0,9.0,31.0,31.0,9.0,5.0,9.0,37.0,5.0,5.0,37.0,37.0,37.0
4,5,5,Buyer,Low,Low,87,4.0,6.0,6.0,15.0,4.0,20.0,20.0,4.0,6.0,20.0,15.0,6.0,4.0,15.0,20.0,4.0,4.0,20.0,6.0,6.0
5,6,5,Seller,Low,High,0,9.0,5.0,5.0,31.0,31.0,37.0,37.0,31.0,5.0,9.0,9.0,5.0,9.0,37.0,31.0,31.0,31.0,9.0,5.0,5.0
6,7,2,Buyer,High,High,91,25.0,14.0,14.0,14.0,24.0,24.0,24.0,14.0,24.0,14.0,24.0,21.0,21.0,24.0,25.0,21.0,25.0,14.0,14.0,25.0
7,8,1,Buyer,High,Low,14,12.0,12.0,12.0,12.0,30.0,30.0,34.0,12.0,12.0,12.0,30.0,34.0,12.0,12.0,30.0,12.0,11.0,11.0,11.0,12.0
8,9,5,Buyer,Low,High,50,6.0,4.0,4.0,20.0,20.0,4.0,15.0,15.0,4.0,6.0,6.0,4.0,6.0,4.0,15.0,15.0,20.0,6.0,20.0,15.0
9,10,3,Buyer,Low,Low,49,29.0,29.0,1.0,28.0,28.0,28.0,1.0,28.0,23.0,29.0,28.0,29.0,28.0,1.0,29.0,28.0,29.0,1.0,29.0,29.0
10,11,1,Seller,Low,Low,0,3.0,3.0,3.0,33.0,17.0,33.0,17.0,17.0,17.0,17.0,33.0,3.0,33.0,33.0,33.0,3.0,8.0,8.0,8.0,3.0
11,12,1,Seller,Low,High,0,8.0,8.0,8.0,8.0,33.0,3.0,33.0,8.0,8.0,8.0,3.0,17.0,8.0,8.0,17.0,8.0,3.0,33.0,17.0,8.0
12,13,4,Buyer,High,High,13,18.0,18.0,18.0,19.0,39.0,22.0,22.0,18.0,19.0,18.0,22.0,39.0,18.0,18.0,22.0,19.0,39.0,18.0,39.0,22.0
13,14,2,Seller,High,High,0,32.0,7.0,7.0,7.0,32.0,26.0,27.0,7.0,27.0,7.0,26.0,26.0,32.0,26.0,26.0,27.0,26.0,7.0,7.0,27.0
14,15,5,Seller,High,Low,0,37.0,37.0,31.0,5.0,37.0,31.0,9.0,9.0,37.0,37.0,5.0,31.0,37.0,5.0,9.0,9.0,37.0,31.0,31.0,9.0
15,16,4,Buyer,High,High,83,39.0,39.0,19.0,18.0,22.0,19.0,19.0,39.0,22.0,22.0,39.0,22.0,39.0,39.0,18.0,39.0,18.0,22.0,18.0,39.0
16,17,1,Buyer,Low,High,74,34.0,34.0,30.0,34.0,11.0,34.0,11.0,11.0,11.0,11.0,34.0,12.0,30.0,34.0,12.0,30.0,30.0,30.0,12.0,34.0
17,18,4,Seller,Low,Low,0,13.0,13.0,13.0,16.0,36.0,38.0,38.0,13.0,36.0,13.0,36.0,36.0,13.0,13.0,16.0,38.0,16.0,13.0,16.0,36.0
18,19,4,Seller,High,Low,0,36.0,38.0,16.0,13.0,38.0,16.0,16.0,36.0,13.0,36.0,38.0,38.0,38.0,36.0,36.0,13.0,38.0,38.0,36.0,38.0
19,20,5,Seller,High,High,0,31.0,31.0,37.0,9.0,9.0,5.0,5.0,37.0,31.0,5.0,37.0,37.0,31.0,31.0,5.0,37.0,9.0,5.0,9.0,31.0
20,21,2,Seller,Low,Low,0,26.0,32.0,27.0,27.0,26.0,27.0,32.0,27.0,26.0,27.0,32.0,7.0,7.0,27.0,27.0,7.0,27.0,27.0,27.0,32.0
21,22,4,Seller,Low,High,0,38.0,36.0,38.0,38.0,16.0,13.0,13.0,38.0,16.0,16.0,13.0,16.0,36.0,38.0,13.0,36.0,36.0,16.0,38.0,13.0
22,23,3,Seller,Low,Low,0,35.0,40.0,40.0,2.0,35.0,2.0,35.0,2.0,10.0,2.0,2.0,40.0,35.0,2.0,35.0,2.0,35.0,35.0,35.0,40.0
23,24,2,Seller,Low,Low,0,27.0,26.0,32.0,32.0,7.0,7.0,7.0,32.0,7.0,32.0,7.0,32.0,26.0,7.0,32.0,32.0,32.0,32.0,26.0,26.0
24,25,2,Seller,High,High,0,7.0,27.0,26.0,26.0,27.0,32.0,26.0,26.0,32.0,26.0,27.0,27.0,27.0,32.0,7.0,26.0,7.0,26.0,32.0,7.0
25,26,2,Buyer,High,Low,77,21.0,24.0,25.0,25.0,21.0,14.0,25.0,25.0,21.0,25.0,14.0,14.0,24.0,14.0,14.0,25.0,14.0,25.0,24.0,24.0
26,27,2,Buyer,Low,High,0,24.0,25.0,21.0,21.0,25.0,21.0,14.0,21.0,14.0,21.0,25.0,25.0,25.0,21.0,21.0,14.0,21.0,21.0,21.0,14.0
27,28,3,Seller,Low,High,0,2.0,2.0,2.0,10.0,10.0,10.0,40.0,10.0,2.0,40.0,10.0,35.0,10.0,40.0,40.0,10.0,40.0,2.0,40.0,2.0
28,29,3,Seller,Low,High,0,10.0,10.0,35.0,35.0,2.0,35.0,2.0,40.0,40.0,10.0,40.0,10.0,40.0,35.0,10.0,35.0,10.0,40.0,10.0,10.0
29,30,1,Seller,Low,Low,0,33.0,33.0,17.0,3.0,8.0,8.0,3.0,3.0,3.0,3.0,8.0,33.0,17.0,3.0,8.0,17.0,17.0,17.0,33.0,33.0
30,31,5,Buyer,High,Low,34,20.0,20.0,15.0,6.0,6.0,15.0,4.0,6.0,20.0,4.0,4.0,15.0,20.0,20.0,6.0,6.0,6.0,15.0,15.0,20.0
31,32,2,Buyer,Low,Low,36,14.0,21.0,24.0,24.0,14.0,25.0,21.0,24.0,25.0,24.0,21.0,24.0,14.0,25.0,24.0,24.0,24.0,24.0,25.0,21.0
32,33,1,Buyer,High,Low,28,30.0,30.0,34.0,11.0,12.0,11.0,12.0,34.0,34.0,34.0,11.0,30.0,11.0,11.0,11.0,34.0,34.0,12.0,30.0,30.0
33,34,1,Seller,High,High,0,17.0,17.0,33.0,17.0,3.0,17.0,8.0,33.0,33.0,33.0,17.0,8.0,3.0,17.0,3.0,33.0,33.0,3.0,3.0,17.0
34,35,3,Buyer,High,Low,56,23.0,1.0,29.0,29.0,23.0,29.0,23.0,1.0,1.0,1.0,1.0,28.0,23.0,29.0,23.0,29.0,23.0,23.0,23.0,1.0
35,36,4,Buyer,High,High,57,19.0,22.0,39.0,39.0,18.0,39.0,39.0,19.0,18.0,19.0,18.0,18.0,22.0,19.0,19.0,22.0,22.0,39.0,19.0,18.0
36,37,5,Buyer,Low,High,27,15.0,15.0,20.0,4.0,15.0,6.0,6.0,20.0,15.0,15.0,20.0,20.0,15.0,6.0,4.0,20.0,15.0,4.0,4.0,4.0
37,38,4,Buyer,Low,Low,88,22.0,19.0,22.0,22.0,19.0,18.0,18.0,22.0,39.0,39.0,19.0,19.0,19.0,22.0,39.0,18.0,19.0,19.0,22.0,19.0
38,39,4,Seller,Low,Low,0,16.0,16.0,36.0,36.0,13.0,36.0,36.0,16.0,38.0,38.0,16.0,13.0,16.0,16.0,38.0,16.0,13.0,36.0,13.0,16.0
39,40,3,Buyer,High,Low,58,1.0,23.0,23.0,1.0,1.0,1.0,28.0,29.0,29.0,28.0,29.0,23.0,29.0,28.0,28.0,1.0,28.0,29.0,28.0,23.0
